x y c
1 0 0.12
2 0 0.08
3 0 0.00
4 0 0.00
5 0 0.00
0 1 0.88
2 1 0.23
3 1 0.23
4 1 0.02
5 1 0.02
0 2 0.92
1 2 0.77
3 2 0.03
4 2 0.01
5 2 0.01
0 3 1.00
1 3 0.77
2 3 0.97
4 3 0.18
5 3 0.25
0 4 1.00
1 4 0.98
2 4 0.99
3 4 0.82
5 4 0.50
0 5 1.00
1 5 0.98
2 5 0.99
3 5 0.75
4 5 0.50
