x y c
1 0 0.12
2 0 0.15
3 0 0.00
4 0 0.00
5 0 0.00
0 1 0.89
2 1 0.00
3 1 0.12
4 1 0.24
5 1 0.14
0 2 0.85
1 2 1.00
3 2 0.08
4 2 0.16
5 2 0.03
0 3 1.00
1 3 0.88
2 3 0.92
4 3 0.69
5 3 0.46
0 4 1.00
1 4 0.76
2 4 0.84
3 4 0.32
5 4 0.31
0 5 1.00
1 5 0.86
2 5 0.97
3 5 0.54
4 5 0.69
