c value
1.2491 0.8750
2.4014 0.8333
1.9640 0.8833
1.6973 0.8833
0.8120 0.9167
0.8120 0.9000
0.6162 0.9333
2.2324 0.8750
1.7022 0.8750
1.9161 0.8917
0.5595 0.9333
0.5038 0.9417
0.5151 0.9417
1.1745 0.8167
1.0787 0.8667
0.8476 0.8917
0.5160 0.9500
1.0080 0.8833
0.7286 0.8500
1.3039 0.8750
0.9345 0.9000
0.5073 0.8583
0.6452 0.9333
0.5449 0.7833
0.7178 0.8583
0.5173 0.9167
0.9227 0.9333
0.7194 0.8500
1.0862 0.8917
1.2752 0.9333
