x y c
0 0 nan
1 0 0.1150
2 0 0.1475
3 0 0.0000
4 0 0.0000
5 0 0.0000
0 1 0.8850
1 1 nan
2 1 0.0000
3 1 0.1225
4 1 0.2450
5 1 0.1350
0 2 0.8525
1 2 1.0000
2 2 nan
3 2 0.0825
4 2 0.1625
5 2 0.0250
0 3 1.0000
1 3 0.8775
2 3 0.9175
3 3 nan
4 3 0.6850
5 3 0.4600
0 4 1.0000
1 4 0.7550
2 4 0.8375
3 4 0.3150
4 4 nan
5 4 0.3125
0 5 1.0000
1 5 0.8650
2 5 0.9750
3 5 0.5400
4 5 0.6875
5 5 nan
